,prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier,cumalative_prod,reserves,remaining_oe
625,ISLAY,2017,0.0,0.001,0.000,0.0,0.001,0.0,21105675,0.092,0.1,0.008000000000000007
626,IVAR AASEN,2016,0.028999999999999998,0.0,0.000,0.0,0.028999999999999998,0.0,23384520,0.028999999999999998,29.41,29.381
627,IVAR AASEN,2017,0.6759999999999999,0.057999999999999996,0.058,0.0,0.792,0.0,23384520,0.8210000000000001,29.41,28.589
628,JETTE,2013,0.21899999999999997,0.005,0.000,0.0,0.22399999999999998,0.035,21613906,0.22399999999999998,0.4,0.17600000000000005
629,JETTE,2014,0.102,0.0,0.000,0.0,0.102,0.344,21613906,0.32599999999999996,0.4,0.07400000000000007
630,JETTE,2015,0.053,0.0,0.000,0.0,0.054000000000000006,0.354,21613906,0.37999999999999995,0.4,0.020000000000000073
631,JETTE,2016,0.052000000000000005,0.0,0.000,0.0,0.052000000000000005,0.34299999999999997,21613906,0.43199999999999994,0.4,-0.03199999999999992
632,JOTUN,1999,0.863,0.012,0.000,0.0,0.8759999999999999,0.002,43604,0.8759999999999999,24.0,23.124
633,JOTUN,2000,7.166,0.313,0.000,0.0,7.479,0.821,43604,8.355,24.0,15.645
634,JOTUN,2001,5.48,0.20600000000000002,0.000,0.0,5.685,4.508,43604,14.04,24.0,9.96
635,JOTUN,2002,2.5869999999999997,0.068,0.000,0.0,2.655,6.84,43604,16.695,24.0,7.305
636,JOTUN,2003,2.235,0.048,0.000,0.0,2.283,7.401,43604,18.978,24.0,5.0219999999999985
637,JOTUN,2004,1.103,0.037000000000000005,0.000,0.0,1.14,7.905,43604,20.118000000000002,24.0,3.881999999999998
638,JOTUN,2005,0.764,0.051,0.000,0.0,0.815,8.101,43604,20.933000000000003,24.0,3.0669999999999966
639,JOTUN,2006,0.665,0.051,0.000,0.0,0.7170000000000001,7.577999999999999,43604,21.650000000000002,24.0,2.349999999999998
640,JOTUN,2007,0.515,0.045,0.000,0.0,0.5589999999999999,6.693,43604,22.209000000000003,24.0,1.7909999999999968
641,JOTUN,2008,0.384,0.022000000000000002,0.000,0.0,0.406,6.085,43604,22.615000000000002,24.0,1.384999999999998
642,JOTUN,2009,0.312,0.013999999999999999,0.000,0.0,0.326,5.531000000000001,43604,22.941000000000003,24.0,1.0589999999999975
643,JOTUN,2010,0.254,0.006999999999999999,0.000,0.0,0.261,5.372999999999999,43604,23.202,24.0,0.7979999999999983
644,JOTUN,2011,0.213,0.005,0.000,0.0,0.218,5.138,43604,23.42,24.0,0.5799999999999983
645,JOTUN,2012,0.174,0.001,0.000,0.0,0.174,4.83,43604,23.594,24.0,0.4059999999999988
646,JOTUN,2013,0.151,0.004,0.000,0.0,0.154,4.481,43604,23.748,24.0,0.2519999999999989
647,JOTUN,2014,0.11800000000000001,0.0,0.000,0.0,0.11800000000000001,3.8,43604,23.866,24.0,0.13400000000000034
648,JOTUN,2015,0.092,0.001,0.000,0.0,0.09300000000000001,2.675,43604,23.959,24.0,0.04100000000000037
649,JOTUN,2016,0.062,0.0,0.000,0.0,0.062,2.283,43604,24.021,24.0,-0.021000000000000796
650,KNARR,2015,1.3459999999999999,0.078,0.122,0.0,1.546,0.0,20460988,1.546,11.15,9.604000000000001
651,KNARR,2016,2.736,0.142,0.480,0.0,3.3569999999999998,0.0,20460988,4.903,11.15,6.247000000000001
652,KNARR,2017,0.9640000000000001,0.049,0.167,0.0,1.181,0.233,20460988,6.084,11.15,5.066000000000001
653,KRISTIN,2005,0.0,0.19,0.076,0.195,0.46,0.005,1854729,0.46,65.31,64.85000000000001
654,KRISTIN,2006,1.07,2.61,1.119,1.902,6.7,0.078,1854729,7.16,65.31,58.150000000000006
655,KRISTIN,2007,4.2780000000000005,3.69,1.578,0.0,9.546,0.213,1854729,16.706,65.31,48.604
656,KRISTIN,2008,4.398,3.94,1.625,0.0,9.963,0.667,1854729,26.668999999999997,65.31,38.641000000000005
657,KRISTIN,2009,2.864,2.8280000000000003,1.178,0.0,6.87,0.7020000000000001,1854729,33.538999999999994,65.31,31.771000000000008
658,KRISTIN,2010,1.75,2.146,0.903,0.0,4.8,0.892,1854729,38.33899999999999,65.31,26.97100000000001
659,KRISTIN,2011,1.411,1.9809999999999999,0.891,0.0,4.283,1.2309999999999999,1854729,42.62199999999999,65.31,22.68800000000001
660,KRISTIN,2012,1.139,1.6440000000000001,0.698,0.0,3.4819999999999998,1.1320000000000001,1854729,46.10399999999999,65.31,19.20600000000001
661,KRISTIN,2013,0.799,1.071,0.378,0.0,2.248,0.7659999999999999,1854729,48.35199999999999,65.31,16.958000000000013
662,KRISTIN,2014,0.885,1.338,0.511,0.0,2.735,0.715,1854729,51.08699999999999,65.31,14.223000000000013
663,KRISTIN,2015,0.7659999999999999,1.244,0.617,0.0,2.627,0.682,1854729,53.71399999999999,65.31,11.59600000000001
664,KRISTIN,2016,0.564,1.0,0.447,0.0,2.012,0.812,1854729,55.72599999999999,65.31,9.58400000000001
665,KRISTIN,2017,0.2,0.342,0.142,0.0,0.685,0.285,1854729,56.410999999999994,65.31,8.899000000000008
666,KVITEBJØRN,2004,0.281,0.5579999999999999,0.034,0.0,0.873,0.013999999999999999,1036101,0.873,150.66,149.787
667,KVITEBJØRN,2005,2.187,4.34,0.590,0.0,7.117000000000001,0.07200000000000001,1036101,7.990000000000001,150.66,142.67
668,KVITEBJØRN,2006,2.8369999999999997,5.62,0.810,0.0,9.267000000000001,0.08800000000000001,1036101,17.257,150.66,133.403
669,KVITEBJØRN,2007,0.5479999999999999,1.083,0.140,0.0,1.771,0.018000000000000002,1036101,19.028000000000002,150.66,131.632
670,KVITEBJØRN,2008,1.4480000000000002,3.003,0.453,0.0,4.904,0.062,1036101,23.932000000000002,150.66,126.728
671,KVITEBJØRN,2009,2.349,5.081,0.808,0.0,8.237,0.172,1036101,32.169000000000004,150.66,118.49099999999999
672,KVITEBJØRN,2010,2.7110000000000003,6.115,0.775,0.0,9.6,0.226,1036101,41.769000000000005,150.66,108.89099999999999
673,KVITEBJØRN,2011,2.628,6.518,0.829,0.0,9.974,0.20199999999999999,1036101,51.74300000000001,150.66,98.91699999999999
674,KVITEBJØRN,2012,2.483,6.979,0.933,0.0,10.395999999999999,0.135,1036101,62.13900000000001,150.66,88.52099999999999
675,KVITEBJØRN,2013,2.102,6.8660000000000005,0.991,0.0,9.959,0.159,1036101,72.09800000000001,150.66,78.56199999999998
676,KVITEBJØRN,2014,1.982,6.769,0.979,0.0,9.73,0.179,1036101,81.82800000000002,150.66,68.83199999999998
677,KVITEBJØRN,2015,1.912,6.822,0.672,0.0,9.406,0.20800000000000002,1036101,91.23400000000002,150.66,59.42599999999997
678,KVITEBJØRN,2016,1.775,6.89,0.701,0.0,9.366,0.19399999999999998,1036101,100.60000000000002,150.66,50.059999999999974
679,KVITEBJØRN,2017,0.474,2.195,0.221,0.0,2.89,0.071,1036101,103.49000000000002,150.66,47.16999999999997
680,LILLE-FRIGG,1994,0.38799999999999996,0.584,0.000,0.003,0.976,0.0,43583,0.976,3.5,2.524
681,LILLE-FRIGG,1995,0.43700000000000006,0.609,0.000,0.003,1.0490000000000002,0.0,43583,2.0250000000000004,3.5,1.4749999999999996
682,LILLE-FRIGG,1996,0.28300000000000003,0.532,0.000,0.006,0.8220000000000001,0.0,43583,2.8470000000000004,3.5,0.6529999999999996
683,LILLE-FRIGG,1997,0.132,0.271,0.000,0.003,0.40700000000000003,0.0,43583,3.2540000000000004,3.5,0.24599999999999955
684,LILLE-FRIGG,1998,0.071,0.149,0.000,0.004,0.223,0.0,43583,3.4770000000000003,3.5,0.022999999999999687
685,LILLE-FRIGG,1999,0.013000000000000001,0.040999999999999995,0.000,0.0,0.054000000000000006,0.0,43583,3.531,3.5,-0.03100000000000014
686,LILLE-FRIGG,2000,0.002,0.0,0.000,0.0,0.002,0.0,43583,3.533,3.5,-0.03299999999999992
687,LILLE-FRIGG,2001,0.0,0.0,0.000,0.0,0.0,0.0,43583,3.533,3.5,-0.03299999999999992
688,MARULK,2012,0.05,0.541,0.092,0.0,0.6829999999999999,0.004,18212090,0.6829999999999999,8.44,7.757
689,MARULK,2013,0.026000000000000002,0.271,0.048,0.0,0.345,0.001,18212090,1.028,8.44,7.411999999999999
690,MARULK,2014,0.10400000000000001,1.1320000000000001,0.197,0.0,1.433,0.002,18212090,2.4610000000000003,8.44,5.978999999999999
691,MARULK,2015,0.10400000000000001,1.288,0.227,0.0,1.618,0.001,18212090,4.079000000000001,8.44,4.360999999999999
692,MARULK,2016,0.075,1.095,0.191,0.0,1.3619999999999999,0.005,18212090,5.441000000000001,8.44,2.9989999999999988
693,MARULK,2017,0.016,0.379,0.061,0.0,0.457,0.006,18212090,5.898000000000001,8.44,2.541999999999999
694,MIKKEL,2003,0.0,0.46299999999999997,0.195,0.22899999999999998,0.887,0.002,1630514,0.887,60.38,59.493
695,MIKKEL,2004,0.0,1.651,0.857,0.732,3.24,0.006999999999999999,1630514,4.127000000000001,60.38,56.253
696,MIKKEL,2005,0.0,1.7380000000000002,0.914,0.76,3.412,0.008,1630514,7.539000000000001,60.38,52.841
697,MIKKEL,2006,0.16899999999999998,1.6130000000000002,0.881,0.532,3.194,0.006,1630514,10.733,60.38,49.647000000000006
698,MIKKEL,2007,0.74,1.85,1.000,0.0,3.59,0.006999999999999999,1630514,14.323,60.38,46.057
