"fldName";"fldStatusFromDate";"fldStatusToDate";"fldStatus";"fldNpdidField";"fldStatusDateUpdated";"datesyncNPD"
"VIGDIS";"28.01.1997";"";"Producing";"43732";"";"30.06.2017"
"VILJE";"18.03.2005";"31.07.2008";"Approved for production";"3392471";"24.11.2016";"30.06.2017"
"VILJE";"01.08.2008";"";"Producing";"3392471";"";"30.06.2017"
"VISUND";"29.03.1996";"21.04.1999";"Approved for production";"43745";"24.11.2016";"30.06.2017"
"VISUND";"21.04.1999";"";"Producing";"43745";"";"30.06.2017"
"VISUND SØR";"10.06.2011";"21.11.2012";"Approved for production";"20461008";"24.11.2016";"30.06.2017"
"VISUND SØR";"22.11.2012";"";"Producing";"20461008";"";"30.06.2017"
"VOLUND";"18.01.2007";"09.09.2009";"Approved for production";"4380167";"24.11.2016";"30.06.2017"
"VOLUND";"10.09.2009";"";"Producing";"4380167";"";"30.06.2017"
"VOLVE";"22.04.2005";"11.02.2008";"Approved for production";"3420717";"24.11.2016";"30.06.2017"
"VOLVE";"12.02.2008";"21.09.2016";"Producing";"3420717";"25.10.2016";"30.06.2017"
"VOLVE";"22.09.2016";"";"Shut down";"3420717";"";"30.06.2017"
"YME";"06.01.1995";"26.02.1996";"Approved for production";"43807";"24.11.2016";"30.06.2017"
"YME";"27.02.1996";"16.04.2001";"Producing";"43807";"";"30.06.2017"
"YME";"17.04.2001";"10.05.2007";"Shut down";"43807";"";"30.06.2017"
"YME";"11.05.2007";"11.12.2014";"Approved for production";"43807";"24.11.2016";"30.06.2017"
"YME";"12.12.2014";"";"Shut down";"43807";"";"30.06.2017"
"YTTERGRYTA";"21.05.2008";"04.01.2009";"Approved for production";"4973114";"24.11.2016";"30.06.2017"
"YTTERGRYTA";"05.01.2009";"28.06.2013";"Producing";"4973114";"30.01.2014";"30.06.2017"
"YTTERGRYTA";"29.06.2013";"";"Shut down";"4973114";"";"30.06.2017"
"ØST FRIGG";"14.12.1984";"01.10.1988";"Approved for production";"43576";"24.11.2016";"30.06.2017"
"ØST FRIGG";"01.10.1988";"22.12.1997";"Producing";"43576";"";"30.06.2017"
"ØST FRIGG";"22.12.1997";"";"Shut down";"43576";"";"30.06.2017"
"ÅSGARD";"14.06.1996";"19.05.1999";"Approved for production";"43765";"24.11.2016";"30.06.2017"
"ÅSGARD";"19.05.1999";"";"Producing";"43765";"";"30.06.2017"
"AASTA HANSTEEN";"07.06.2013";"";"Approved for production";"23395946";"24.11.2016";"30.06.2017"
